Wed Feb 26 00:55:38 MSK 2020 copy TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)Wed Feb 26 00:55:56 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@266474c2), logger=stateMachine.service.Logger@1d44bcfa)Wed Feb 26 00:57:42 MSK 2020 copy TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:57:47 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@266474c2), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:57:53 MSK 2020  up in TaskProxy(task=Task(id=0, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Draft@5e2de80c), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:00 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Open@6f94fa3e), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:37 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Assigned@5e481248), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:55 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.InProgress@66d3c617), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:56 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Resolved@63947c6b), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:56 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=null, testerId=null, text=null, error=null, state=stateMachine.states.Testing@2b193f2d), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:57 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:57 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:58 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:59 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:58:59 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:59:00 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:59:00 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:59:01 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:59:01 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:59:02 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
Wed Feb 26 00:59:02 MSK 2020  up in TaskProxy(task=Task(id=1, developerId=0, testerId=0, text=null, error=null, state=stateMachine.states.Closed@355da254), logger=stateMachine.service.Logger@1d44bcfa)
